residue,residue_ID,name,anomer,absolute,ring,parent_id,site,shape,color,pubChem,comment
N-glycan_b-D-Manp_E35,NE35,Man,b,D,p,NC,6,circle,#00A651,Man
N-glycan_a-D-Neu5Acp_E36,NE36,Neu5Ac,a,D,p,N66,3,diamond,#A54399,Neu5Ac
N-glycan_b-D-Galp_E37,NE37,Gal,b,D,p,N32,3,circle,#FFD400,Gal
N-glycan_a-D-Galp_E38,NE38,Gal,a,D,p,N5,4,circle,#FFD400,Gal
N-glycan_a-D-Xylp_E39,NE39,Xyl,a,D,p,NC,2,star,#F47920,Xyl
N-glycan_a-D-Manp_E40,NE40,Man,a,D,p,NA,6,circle,#00A651,Man
N-glycan_b-D-GlcNAcp_E41,NE41,GlcNAc,b,D,p,NE16,2,square,#0090BC,GlcNAc
N-glycan_a-L-Fucp_E42,NE42,Fuc,a,L,p,N31,3,triangle,#ED1C24,Fuc
N-glycan_b-D-Xylf_E43,NE43,Xyl,b,D,f,NC,2,star,#F47920,Xyl
N-glycan_b-D-Manp_E44,NE44,Man,b,D,p,N4,3,circle,#00A651,Man
N-glycan_a-D-Manp_E45,NE45,Man,a,D,p,NE5,3,circle,#00A651,Man
N-glycan_a-D-Manp_E46,NE46,Man,a,D,p,N24,2,circle,#00A651,Man
N-glycan_b-D-Manp_E47,NE47,Man,b,D,p,N1,2,circle,#00A651,Man
N-glycan_a-D-Manp_E48,NE48,Man,a,D,p,NE27,6,circle,#00A651,Man
N-glycan_a-D-Xylf_E49,NE49,Xyl,a,D,f,NC,2,star,#F47920,Xyl
N-glycan_a-D-Manp_E50,NE50,Man,a,D,p,NE46,2,circle,#00A651,Man
N-glycan_a-D-Manp_E51,NE51,Man,a,D,p,NE16,6,circle,#00A651,Man
N-glycan_b-D-Manp_E52,NE52,Man,b,D,p,N4,4,circle,#00A651,Man
N-glycan_a-D-Neu5Gcp_E53,NE53,Neu5Gc,a,D,p,N2,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Neu5Acp_E54,NE54,Neu5Ac,a,D,p,N86,4,diamond,#A54399,Neu5Ac
N-glycan_a-D-Neu5Acp_E55,NE55,Neu5Ac,a,D,p,N5,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-Neu5Acp_E56,NE56,Neu5Ac,a,D,p,N44,4,diamond,#A54399,Neu5Ac
N-glycan_a-D-Neu5Acp_E57,NE57,Neu5Ac,a,D,p,N72,6,diamond,#A54399,Neu5Ac
N-glycan_b-D-Galp_E58,NE58,Gal,b,D,p,N15,4,circle,#FFD400,Gal
N-glycan_a-D-Neu5Acp_E59,NE59,Neu5Ac,a,D,p,N3,4,diamond,#A54399,Neu5Ac
N-glycan_a-D-Manp_E60,NE60,Man,a,D,p,NE27,2,circle,#00A651,Man
N-glycan_a-D-Manp_E61,NE61,Man,a,D,p,NE23,3,circle,#00A651,Man
N-glycan_b-D-Glcp_E62,NE62,Glc,b,D,p,N2,4,circle,#0090BC,Glc
N-glycan_a-D-Glcp_E63,NE63,Glc,a,D,p,N1,3,circle,#0090BC,Glc
N-glycan_b-D-Galp_E64,NE64,Gal,b,D,p,N11,4,circle,#FFD400,Gal
N-glycan_a-D-Manp_E65,NE65,Man,a,D,p,NE5,2,circle,#00A651,Man
N-glycan_a-D-Manp_E66,NE66,Man,a,D,p,N20,3,circle,#00A651,Man
N-glycan_a-D-Manp_E67,NE67,Man,a,D,p,N19,3,circle,#00A651,Man
